Total Halting vehicles,Total Cycle Time,Total Waiting Time
0.0,0.0,0.0
49.63333333333333,346.05,665.7
103.14047619047618,444.28214285714284,1426.3142857142857
73.27222222222221,390.98333333333335,676.3888888888889
73.08492063492064,386.1345238095238,900.1388888888889
82.12619047619047,398.76071428571424,961.9190476190475
127.80555555555556,470.875,4075.8055555555557
101.66507936507935,412.34523809523813,2885.230158730159
106.61269841269839,468.15714285714284,1537.9031746031749
110.5142857142857,460.26428571428573,1549.3714285714284
89.58333333333333,416.58333333333337,1317.7222222222222
110.11111111111113,464.9583333333333,1904.8333333333333
126.46666666666667,488.1,2443.1
114.17619047619048,481.1571428571429,1816.3142857142857
83.98095238095239,436.5464285714286,1210.2984126984127
60.35396825396826,384.0785714285714,824.7507936507936
97.29444444444444,418.47857142857146,2160.706349206349
114.41428571428571,472.02500000000003,5893.788095238095
102.81666666666668,462.475,2238.366666666667
115.63333333333334,503.53333333333336,1570.7666666666664
115.45,517.05,1789.3333333333333
