Total Halting vehicles,Total Cycle Time,Total Waiting Time
0.0,0.0,0.0
44.0,900.0,1123.0
41.0,330.0,815.4
34.30050505050505,221.0,186.13131313131314
25.838383838383837,171.0,137.67171717171718
27.174242424242426,167.0,165.3030303030303
26.424242424242422,215.0,176.1818181818182
24.40909090909091,216.0,138.4090909090909
18.83232323232323,272.0,102.09292929292928
28.568686868686868,160.0,173.00808080808082
22.83939393939394,218.0,132.64848484848486
22.75858585858586,329.0,124.99292929292928
19.24242424242424,164.0,115.45959595959594
15.984848484848484,216.0,85.07575757575756
20.15151515151515,160.0,108.82828282828282
23.509090909090908,216.0,225.46060606060607
21.95353535353535,218.0,158.5979797979798
17.37878787878788,215.0,93.66666666666667
21.46969696969697,160.0,123.92424242424241
23.787878787878785,161.0,150.75757575757575
18.903030303030302,162.0,96.41818181818181
